d8:84:66:11:2d:09	55
20:b3:99:ea:1b:e9	120
d8:84:66:13:52:49	130
d8:84:66:10:3d:08	146
d8:84:66:0a:ee:d8	149
d8:84:66:13:65:08	28
d8:84:66:11:31:e8	74
d8:84:66:13:6d:69	60
d8:84:66:11:4b:19	44
d8:84:66:11:41:29	41
d8:84:66:10:3c:89	67
d8:84:66:0b:f9:98	11
d8:84:66:11:42:b8	91
d8:84:66:10:46:a8	92
d8:84:66:11:4a:a8	93
d8:84:66:71:27:19	98
1c:af:f7:44:20:d8	40
d8:84:66:71:3a:28	129
d8:84:66:13:67:f8	114
d8:84:66:11:31:f8	125
d8:84:66:0a:e1:19	134
d8:84:66:13:6f:59	140
d8:84:66:47:f8:89	148
d8:84:66:0a:e5:39	21
d8:84:66:10:46:a9	89
d8:84:66:0a:d9:b9	151
d8:84:66:0a:b7:a9	152
d8:84:66:11:2d:08	57
00:0a:f5:a6:ea:78	161
d8:84:66:03:3f:89	127
d8:84:66:10:3f:58	80
d8:84:66:11:56:d9	15
d8:84:66:11:43:28	51
d8:84:66:11:4b:18	46
d8:84:66:10:3c:d8	30
d8:84:66:10:3c:f9	5
d8:84:66:11:4a:b9	8
d8:84:66:10:9f:78	59
d8:84:66:0b:fb:b9	81
d8:84:66:71:3a:38	103
d8:84:66:13:67:f9	113
d8:84:66:71:3f:f8	122
d8:84:66:11:41:28	42
d8:84:66:0a:b7:a8	156
d8:84:66:39:6b:e8	138
d8:84:66:11:42:d8	33
d8:84:66:11:5c:fa	47
d8:84:66:11:38:58	25
d8:84:66:11:41:f9	71
d8:84:66:39:6c:19	95
d8:84:66:13:52:48	132
d8:84:66:11:4a:b8	49
d8:84:66:0a:c9:59	18
d8:84:66:10:a3:09	38
d8:84:66:11:4a:18	37
d8:84:66:10:48:08	31
d8:84:66:13:69:e8	56
d8:84:66:37:6a:68	43
d8:84:66:39:6e:88	108
d8:84:66:11:5c:f9	48
d8:84:66:11:42:ba	83
d8:84:66:13:6d:68	62
d8:84:66:11:4a:a9	88
d8:84:66:71:27:18	100
d8:84:66:39:6e:89	106
d8:84:66:0a:e9:09	110
d8:84:66:11:57:49	2
d8:84:66:11:49:28	9
d8:84:66:5c:76:79	61
d8:84:66:10:48:09	24
d8:84:66:71:3a:39	102
d8:84:66:71:28:48	107
d8:84:66:39:6b:e9	137
d8:84:66:47:f8:88	147
d8:84:66:0a:ee:99	154
d8:84:66:71:29:49	111
d8:84:66:10:3e:39	94
9a:98:1b:5c:28:e8	104
d8:84:66:0a:e9:49	118
d8:84:66:0a:e9:48	119
d8:84:66:10:3d:d8	17
d8:84:66:39:71:48	117
d8:84:66:71:3a:29	128
d8:84:66:11:42:d9	32
d8:84:66:13:6f:99	141
d8:84:66:13:69:e9	7
d8:84:66:0a:c9:58	23
d8:84:66:11:38:59	26
d8:84:66:11:4a:19	36
d8:84:66:10:48:58	78
f2:79:59:af:93:26	162
d8:84:66:0a:d7:19	144
d8:84:66:13:6f:98	66
d8:84:66:0a:ec:5a	143
d8:84:66:0a:ec:58	121
e2:41:9a:cc:05:28	139
d8:84:66:0a:e5:38	16
d8:84:66:13:65:09	27
20:b3:99:ea:1b:e8	136
d8:84:66:13:6f:58	142
d8:84:66:11:31:f9	124
d8:84:66:11:39:49	13
d8:84:66:11:42:b9	84
d8:84:66:0a:ba:29	86
d8:84:66:13:6b:68	65
d8:84:66:11:57:48	10
d8:84:66:10:3c:88	68
d8:84:66:10:3f:59	79
d8:84:66:11:39:48	19
d8:84:66:10:46:aa	87
d8:84:66:10:9f:79	58
d8:84:66:11:43:29	50
d8:84:66:71:27:08	70
d8:84:66:0a:d9:b8	163
9e:93:4e:36:96:1f	115
d8:84:66:13:50:88	133
d8:84:66:71:29:08	101
d8:84:66:0a:d7:18	160
d8:84:66:71:3f:f9	123
d8:84:66:11:31:e9	73
d8:84:66:11:57:29	75
f0:99:bf:0e:68:b8	35
d8:84:66:39:71:49	116
d8:84:66:11:4a:aa	90
d8:84:66:0a:ee:d9	150
d8:84:66:11:4a:79	53
d8:84:66:5c:76:78	63
d8:84:66:0b:f9:99	3
d8:84:66:11:31:b9	4
d8:84:66:71:29:09	99
d8:84:66:13:50:89	131
d8:84:66:11:49:29	1
d8:84:66:11:4a:78	54
d8:84:66:13:6b:69	64
d8:84:66:0a:ba:28	85
d8:84:66:10:3e:38	96
d8:84:66:37:6a:69	45
d8:84:66:03:3f:88	126
06:d0:0b:d0:76:28	22
d8:84:66:71:28:49	105
d8:84:66:03:5a:09	159
64:51:06:70:dd:15	6
d8:84:66:0b:fb:b8	34
d8:84:66:11:57:28	76
d8:84:66:0a:e1:1a	135
d8:84:66:10:3d:09	145
d8:84:66:71:27:09	69
d8:84:66:11:41:f8	72
d8:84:66:0a:e9:08	109
d8:84:66:03:5a:08	153
d8:84:66:10:3d:d9	14
d8:84:66:0a:ee:98	155
d8:84:66:03:6a:e9	158
d8:84:66:10:48:59	77
d8:84:66:10:3c:d9	29
d8:84:66:10:a3:08	39
d8:84:66:10:3c:f8	52
d8:84:66:0a:ec:59	82
d8:84:66:11:31:b8	12
d8:84:66:03:6a:e8	157
d8:84:66:39:6c:18	97
d8:84:66:11:56:d8	20
d8:84:66:71:29:48	112
